,0
0,827141
1,159661
2,499973
3,400022
4,847951
5,7247
6,149372
7,1007553
8,228245
9,667551
10,499877
11,1017950
12,432831
13,78535
14,361641
15,352269
16,804420
17,545847
18,531544
19,254767
20,517500
21,911630
22,40984
23,885243
24,423315
25,955624
26,821964
27,469808
28,54645
29,133926
30,365230
31,190475
32,205367
33,645090
34,681415
35,1004212
36,454204
37,845573
38,802291
39,731081
40,688602
41,54296
42,415615
43,144048
44,444613
45,370572
46,920338
47,188044
48,818714
49,458146
50,700943
51,679890
52,712303
53,140163
54,925829
55,698916
56,880711
57,576740
58,641061
59,842345
60,466091
61,600364
62,304839
63,792447
64,930952
65,225256
66,77944
67,470346
68,48470
69,269262
70,324813
71,540622
72,558291
73,452388
74,545195
75,262542
76,157046
77,372331
78,699682
79,304722
80,284927
81,923222
82,612108
83,80216
84,110425
85,401705
86,290004
87,621899
88,453902
89,834868
90,155789
91,634850
92,764086
93,171859
94,67118
95,434484
96,580290
97,253844
98,26253
99,247543
100,633914
101,994552
102,219177
103,490243
104,122313
105,470668
106,234703
107,783622
108,314484
109,634075
110,114071
111,38853
112,394176
113,613464
114,534464
115,874989
116,908706
117,979325
118,315343
119,586821
120,687885
121,132945
122,104257
123,725699
124,124421
125,686055
126,509836
127,1005211
128,588786
129,654884
130,14742
131,868825
132,16614
133,415508
134,729682
135,445903
136,225797
137,581740
138,319437
139,890797
140,436466
141,590105
142,375983
143,684044
144,47186
145,143763
146,911044
147,275043
148,359420
149,28265
150,693953
151,414431
152,395514
153,216205
154,621131
155,86589
156,289938
157,371767
158,898184
159,464103
160,213324
161,557549
162,335905
163,356294
164,1001064
165,819956
166,854445
167,1000507
168,895512
169,785917
170,377499
171,245825
172,756289
173,639338
174,387901
175,726274
176,183655
177,912969
178,486821
179,908926
180,699024
181,327824
182,927491
183,61557
184,19521
185,307393
186,237007
187,270996
188,640129
189,130470
190,16004
191,588305
192,525981
193,669562
194,922149
195,276342
196,700056
197,911102
198,771996
199,21149
200,807386
201,613070
202,625078
203,359344
204,518783
205,817111
206,595723
207,548951
208,13547
209,123344
210,934869
211,912802
212,778401
213,535641
214,518379
215,280842
216,70307
217,48834
218,706108
219,1017200
220,395804
221,557060
222,190176
223,497057
224,33538
225,173611
226,349036
227,43813
228,241018
229,772372
230,305300
231,534744
232,648492
233,95752
234,637885
235,162194
236,861973
237,173001
238,910456
239,685425
240,336055
241,175160
242,168055
243,448240
244,624009
245,844613
246,515340
247,975514
248,440233
249,541332
250,722149
251,493073
252,953093
253,521617
254,422067
255,208504
256,43794
257,605138
258,669487
259,680059
260,1000587
261,750999
262,138817
263,84294
264,295419
265,320007
266,550620
267,772600
268,569389
269,381982
270,832096
271,150263
272,814064
273,513870
274,999823
275,579083
276,148236
277,720269
278,390500
279,936877
280,986666
281,846612
282,844154
283,425817
284,89112
285,82560
286,298170
287,832976
288,92430
289,328518
290,903052
291,77587
292,244642
293,228908
294,607381
295,679183
296,994089
297,587500
298,229533
299,275401
300,582146
301,545386
302,387704
303,856972
304,517692
305,579696
306,408377
307,160659
308,836191
309,472651
310,565836
311,1003517
312,396561
313,1021713
314,772054
315,748128
316,68733
317,921465
318,697451
319,399048
320,610024
321,19224
322,80708
323,973625
324,49437
325,950000
326,221791
327,804264
328,761863
329,463517
330,342135
331,773018
332,524521
333,491227
334,735764
335,252088
336,286266
337,133416
338,560380
339,12932
340,960037
341,68659
342,462961
343,81751
344,393083
345,413265
346,455274
347,445341
348,909639
349,529085
350,437144
351,611316
352,498204
353,985168
354,109904
355,935986
356,531252
357,994038
358,239154
359,269563
360,337304
361,619394
362,60860
363,492325
364,848548
365,652828
366,1004073
367,276030
368,312605
369,186285
370,814735
371,827906
372,805238
373,277480
374,7453
375,381378
376,750078
377,1010899
378,464875
379,702502
380,397640
381,265298
382,845452
383,293305
384,754942
385,279448
386,548051
387,452970
388,143994
389,993045
390,277331
391,29486
392,162271
393,874361
394,1006962
395,530763
396,427164
397,263204
398,181454
399,169121
400,269366
401,889775
402,743067
403,116977
404,376875
405,766519
406,144705
407,33741
408,100740
409,436163
410,713154
411,385512
412,325795
413,518505
414,967854
415,813499
416,857457
417,434450
418,435807
419,554655
420,801701
421,545753
422,447057
423,86118
424,250344
425,603821
426,437426
427,469871
428,967516
429,618675
430,219247
431,518422
432,456388
433,226229
434,414802
435,464988
436,993083
437,520583
438,512896
439,1403
440,950606
441,24494
442,389507
443,369287
444,132564
445,834545
446,39286
447,573595
448,87324
449,935867
450,469258
451,116181
452,715971
453,591426
454,338985
455,727052
456,262664
457,518937
458,716157
459,52914
460,189984
461,969009
462,313243
463,971158
464,943380
465,293503
466,201909
467,941273
468,859866
469,357549
470,764329
471,297723
472,519700
473,188268
474,223316
475,905935
476,562812
477,742532
478,855581
479,498128
480,923225
481,869952
482,990989
483,553411
484,197241
485,784940
486,962819
487,586444
488,749346
489,671598
490,60949
491,937232
492,37554
493,779410
494,363757
495,896237
496,696453
497,309074
498,159825
499,104678
500,561262
501,951054
502,888336
503,39753
504,691329
505,30222
506,928116
507,806900
508,213988
509,231631
510,562000
511,839904
512,451791
513,628410
514,247174
515,273004
516,926287
517,66514
518,351029
519,668657
520,513556
521,739041
522,38895
523,825409
524,30773
525,479826
526,830236
527,805619
528,80019
529,612129
530,243674
531,248423
532,650773
533,942141
534,988586
535,126335
536,620965
537,465794
538,806694
539,746415
540,350997
541,852934
542,562581
543,49774
544,451709
545,46050
546,155968
547,45739
548,891187
549,279172
550,501998
551,937103
552,599943
553,586881
554,42287
555,358768
556,986438
557,529799
558,878802
559,760786
560,553378
561,159526
562,234187
563,240979
564,911478
565,12889
566,292492
567,446668
568,531701
569,168871
570,924048
571,158722
572,801486
573,237334
574,360096
575,329573
576,940388
577,888975
578,105578
579,186924
580,383622
581,75210
582,527595
583,266668
584,224209
585,129102
586,89311
587,529220
588,576422
589,635877
590,955277
591,973713
592,16149
593,600123
594,973658
595,699728
596,849029
597,901578
598,598241
599,821132
600,297356
601,397160
602,305565
603,40599
604,672695
605,204990
606,821402
607,61828
608,424597
609,250268
610,956613
611,662463
612,316724
613,841540
614,368924
615,800210
616,142842
617,8944
618,636143
619,650090
620,370735
621,909581
622,932666
623,487294
624,276082
625,602578
626,494533
627,178581
628,343822
629,17587
630,170889
631,251833
632,360551
633,665864
634,901451
635,578547
636,1006618
637,147349
638,503791
639,83833
640,866770
641,604691
642,639539
643,627674
644,536900
645,919554
646,257525
647,422590
648,303250
649,131152
650,460580
651,273368
652,914968
653,560033
654,541687
655,92448
656,241721
657,554898
658,381763
659,204769
660,221491
661,713777
662,601439
663,125421
664,1008831
665,948427
666,947269
667,526034
668,279652
669,1869
670,621143
671,707040
672,318750
673,691389
674,223917
675,273658
676,153836
677,776910
678,223656
679,687395
680,7961
681,985769
682,76194
683,649429
684,79590
685,860934
686,991852
687,611027
688,671500
689,979419
690,555606
691,137789
692,318549
693,667642
694,565189
695,508633
696,639047
697,1014691
698,582798
699,363452
700,145109
701,381683
702,271669
703,657423
704,82886
705,787752
706,474803
707,688256
708,954360
709,350665
710,242661
711,265614
712,1000205
713,909788
714,458113
715,253827
716,374599
717,213307
718,550713
719,846851
720,221931
721,988347
722,486968
723,576149
724,692827
725,556990
726,866937
727,1003881
728,425565
729,107152
730,948839
731,204863
732,293000
733,711800
734,450598
735,638584
736,312663
737,973351
738,235569
739,478427
740,325904
741,169738
742,418604
743,671377
744,7593
745,972471
746,491376
747,566763
748,947532
749,347781
750,153929
751,887388
752,365061
753,75024
754,558953
755,488519
756,827535
757,569653
758,52423
759,479043
760,752621
761,896444
762,505517
763,744294
764,428020
765,664475
766,631216
767,867246
768,697732
769,998505
770,678105
771,916663
772,765669
773,827816
774,105885
775,130364
776,63236
777,628194
