id,active_search_condition,session_started,session_ended,session_duration_minutes,q1,q2,q3,q4,q5,q6,q7,q8,comments,technical_issues,age,sex,education
ottNn7b8Wt1EL-I0bfFbOA,control,2020-09-10 13:45:18,2020-09-10 14:03:13,17.916666666666668,4.0,5.0,5.0,2.0,,,,,,False,33,male,highschool
Tn8m4yLs6E0GDO6sggwYTw,control,2020-09-10 13:45:39,2020-09-10 13:56:30,10.85,4.0,5.0,4.0,2.0,,,,,,False,23,male,bachelors
SW8GwZ1tt4Z5DiK3J4rw2g,control,2020-09-10 13:45:48,2020-09-10 13:56:51,11.05,4.0,4.0,3.0,2.0,,,,,,False,45,male,associate
POzOiTeXMSdTEbmSmI4wpg,control,2020-09-10 13:47:15,2020-09-10 13:57:50,10.583333333333334,3.0,4.0,3.0,2.0,,,,,,False,34,male,highschool
n-Oq8YP_DhsByGZyxuGroQ,control,2020-09-10 13:50:36,2020-09-10 14:01:51,11.25,4.0,5.0,4.0,2.0,,,,,NICE TASK,False,40,female,masters
FDTHXrnlGNeILsLH5AZ4yw,greedy,2020-09-10 13:53:56,2020-09-10 14:05:25,11.483333333333333,4.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,Everything was fine.,False,54,male,associate
UNaSIzwWzwgmGLZsEyvgsQ,control,2020-09-10 13:54:24,2020-09-10 13:59:34,5.166666666666667,3.0,5.0,5.0,2.0,,,,,,False,29,female,highschool
kj0RX7BOAfL51pdO4hRNWw,greedy,2020-09-10 13:54:52,2020-09-10 14:09:17,14.416666666666666,5.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,,True,29,male,bachelors
0R7Oc16T5OzW-_YNs9rkkg,control,2020-09-10 14:06:52,2020-09-10 14:18:16,11.4,5.0,4.0,4.0,2.0,,,,,This was really fun and interesting. ,False,47,female,highschool
u0glJ2wPe_IXmfOYFd_w0w,greedy,2020-09-10 14:14:12,2020-09-10 14:25:28,11.266666666666667,2.0,3.0,4.0,2.0,3.0,1.0,2.0,5.0,,False,22,female,highschool
3yqIkE86DBDCTnJi3aFcgg,greedy,2020-09-10 14:38:42,2020-09-10 14:41:12,2.5,5.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,,False,25,male,bachelors
k0XtDgVMlnH0N1ivlez7hw,control,2020-09-10 15:03:00,2020-09-10 15:13:06,10.1,4.0,4.0,4.0,2.0,,,,,,False,29,female,bachelors
0kLgVuwpx7Bo-dfk-aUDgQ,greedy,2020-09-10 15:42:41,2020-09-10 15:58:25,15.733333333333333,3.0,4.0,3.0,2.0,4.0,4.0,3.0,5.0,,False,60,female,associate
bifsEtKMXIJ88523WNgtnw,control,2020-09-10 15:42:42,2020-09-10 15:53:10,10.466666666666667,1.0,3.0,5.0,2.0,,,,,,False,36,male,bachelors
q-1VAayPIoWBjTCQi_DoVQ,control,2020-09-10 15:42:44,2020-09-10 15:53:18,10.566666666666666,5.0,5.0,5.0,2.0,,,,,,False,41,male,highschool
